ID,LIMIT_BAL,GENDER,EDUCATION,MARRIAGE,AGE,PAY_HISTORY,BILL_AMT,PAY_AMT,default
1,20000,MALE,3,2,35,-1,4486.5,2354.833333,0
2,260000,FEMALE,1,2,51,-1,14728.16667,11051.33333,0
3,360000,FEMALE,1,1,49,-2,0,0,0
4,450000,FEMALE,1,1,40,-2,4494.166667,3764.833333,1
5,50000,FEMALE,3,1,47,-1,6701.333333,6594.5,0
6,230000,FEMALE,1,2,27,-1,18957.66667,16248.16667,0
7,160000,MALE,1,2,30,-1,4218.666667,380,0
8,380000,MALE,2,2,32,-1,19135.83333,15555.33333,0
9,50000,MALE,1,2,29,2,26279,1020.833333,1
10,130000,FEMALE,2,1,51,-1,408.6666667,392.1666667,0
11,210000,FEMALE,1,2,30,-1,1431.5,1533,0
12,130000,FEMALE,3,2,29,-1,1316.833333,6896.5,0
13,80000,MALE,1,2,31,-1,390,325,0
14,200000,FEMALE,2,1,32,-1,4404.166667,3252,0
15,290000,FEMALE,1,2,37,-1,919,919,0
16,340000,MALE,1,2,32,-1,23699.83333,23666.16667,0
17,300000,FEMALE,1,1,45,-1,291,291,0
18,70000,FEMALE,2,2,24,-1,5351.5,4754.833333,0
19,80000,FEMALE,2,1,36,-1,2977.5,2132.333333,0
20,350000,MALE,1,2,52,-1,1831.166667,2547.5,0
21,240000,MALE,1,2,28,-1,1242.666667,1276,0
22,400000,MALE,2,1,34,-1,11971.33333,9648.5,0
23,30000,FEMALE,1,2,23,-1,5462.666667,5314.333333,0
24,180000,MALE,2,2,28,-1,638,930,0
25,260000,FEMALE,1,1,60,-1,3506.333333,4078.166667,0
26,300000,FEMALE,1,2,30,-1,1963.333333,1974.333333,0
27,360000,FEMALE,1,2,32,-1,27257.66667,33214.66667,0
28,500000,FEMALE,1,1,34,-1,1076.166667,3643.5,0
29,100000,MALE,1,1,47,-1,505.5,837.1666667,0
30,80000,MALE,1,2,35,-1,6975.333333,6048.833333,0
31,210000,FEMALE,1,2,31,-1,3021.666667,3331.5,0
32,60000,FEMALE,1,2,28,-1,7406,380.8333333,0
33,180000,FEMALE,1,2,32,-1,2439,969.6666667,0
34,160000,FEMALE,1,1,38,-1,10546.16667,7357,0
35,80000,FEMALE,1,2,37,-1,5842.333333,4826.166667,0
36,150000,FEMALE,2,1,25,-1,1184,210.6666667,0
37,50000,FEMALE,1,2,26,-1,456,316,0
38,210000,FEMALE,1,1,46,-1,35173.16667,20078.33333,0
39,120000,FEMALE,2,1,29,-1,1294.166667,1452.5,0
40,500000,FEMALE,2,1,36,-1,7921.5,6175.333333,0
41,60000,FEMALE,1,2,27,-1,10985.33333,7851.833333,0
42,260000,FEMALE,3,1,53,-1,337.5,414,0
43,400000,FEMALE,2,1,43,-1,13331.33333,13331.33333,0
44,200000,MALE,1,1,36,-1,-4465.833333,28522.16667,0
45,260000,MALE,1,1,34,-1,22947.83333,20277.66667,0
46,330000,FEMALE,2,1,56,-1,2606.666667,2676.833333,0
47,160000,MALE,1,2,30,-1,10246.66667,19987.66667,0
48,230000,FEMALE,1,1,32,-1,1933.333333,1935.166667,0
49,230000,FEMALE,2,2,38,-1,2955.5,1618.166667,0
50,60000,FEMALE,1,2,27,-1,2445.333333,108.3333333,0
51,30000,FEMALE,1,2,26,-1,689.5,689.5,0
52,230000,FEMALE,2,1,41,-1,8122,9895.5,0
53,80000,FEMALE,2,1,36,-1,4689.5,4777.833333,0
54,170000,FEMALE,3,3,56,-1,356.8333333,459.1666667,0
55,90000,FEMALE,1,1,41,-1,3245.166667,2455.166667,0
56,180000,MALE,2,1,34,-1,1927.166667,1846,0
57,120000,FEMALE,2,1,32,-1,3201.666667,3362,0
58,100000,FEMALE,2,1,43,-1,1699.666667,1636.333333,0
59,230000,FEMALE,1,1,42,-1,8772.166667,7628,0
60,260000,FEMALE,1,1,34,-1,6331.666667,4977.5,0
61,50000,MALE,1,1,41,-1,389.3333333,708.3333333,0
62,250000,FEMALE,1,1,49,-1,303.1666667,295.1666667,0
63,160000,MALE,1,2,35,-1,533.3333333,467.5,0
64,360000,MALE,1,2,28,-1,22045.16667,19348,0
65,220000,FEMALE,2,2,27,-1,3349.5,28651.5,0
66,360000,MALE,1,2,26,-1,707.5,716.3333333,0
67,20000,FEMALE,2,2,21,-1,8769,6085.166667,0
68,200000,FEMALE,1,2,38,-1,147.8333333,134.1666667,0
69,150000,FEMALE,1,2,28,-1,53,53,0
70,60000,FEMALE,2,1,42,-1,1608.5,1625,0
71,360000,MALE,1,2,28,-1,6318.166667,8020.666667,0
72,200000,FEMALE,1,2,29,-1,15596.33333,6349.333333,0
73,350000,MALE,1,2,33,-1,4307.333333,2514,0
74,80000,FEMALE,3,1,49,-1,4353.666667,5124.166667,0
75,80000,MALE,1,2,31,-1,9205,5021.333333,0
76,160000,MALE,1,2,26,-1,11262.16667,12067.83333,0
77,200000,FEMALE,2,1,34,-1,418.5,418.5,0
78,200000,FEMALE,1,1,37,-1,99.16666667,494.1666667,0
79,180000,FEMALE,2,2,28,-1,361.6666667,505,0
80,360000,FEMALE,2,1,37,-1,117.8333333,829.5,0
81,230000,MALE,1,1,39,-1,660,660,0
82,200000,FEMALE,3,3,45,-1,5931.166667,6030.666667,0
83,140000,FEMALE,1,2,37,-1,6924,6751.666667,0
84,400000,FEMALE,2,2,40,-1,1626.5,1690.666667,0
85,200000,FEMALE,1,1,27,-1,3660.333333,2914.333333,0
86,170000,MALE,2,1,42,-1,1073.333333,1073.333333,0
87,180000,FEMALE,1,2,27,-1,2778.333333,3333.833333,0
88,320000,MALE,1,1,47,-1,6031,4588.666667,0
89,160000,FEMALE,1,1,37,-1,263.3333333,263.3333333,0
90,360000,FEMALE,2,2,53,-1,11653.33333,11330,0
91,260000,MALE,1,2,44,-1,341,341,0
92,200000,MALE,1,2,26,-1,6834.5,5469.833333,0
93,20000,MALE,2,2,26,-1,540,770.3333333,0
94,50000,MALE,2,1,27,-1,1512.333333,962.1666667,0
95,370000,FEMALE,1,2,38,-1,768.5,613.6666667,0
96,70000,MALE,1,2,27,-1,92.16666667,419.1666667,0
97,400000,MALE,1,2,37,-1,2904.666667,3524.666667,0
98,80000,FEMALE,2,2,23,-1,3651.833333,3246.166667,0
99,140000,FEMALE,1,2,24,-1,181,181,0
100,150000,FEMALE,2,1,45,-1,3134.166667,4479.166667,0
101,200000,FEMALE,2,1,58,-1,34142.83333,64586.33333,0
102,180000,MALE,1,1,45,-1,4128.5,3816,0
103,20000,FEMALE,3,1,40,-1,751,390,0
104,280000,FEMALE,2,2,27,-1,4637.333333,3666.333333,0
105,180000,FEMALE,2,1,30,-1,6913.666667,6667.333333,0
106,150000,FEMALE,3,1,34,-1,400.6666667,247.5,0
107,260000,FEMALE,1,2,33,-1,746.6666667,746.6666667,0
108,200000,FEMALE,2,1,32,-1,9584.5,10424.5,0
109,50000,MALE,2,1,44,-1,1261,1261,0
110,160000,FEMALE,3,1,51,-1,1729.166667,5104.166667,0
111,180000,MALE,1,2,28,-1,9722.666667,10854.5,0
112,90000,FEMALE,2,1,40,-1,1342.333333,1352.666667,0
113,140000,MALE,1,2,29,-1,2402.166667,1772.666667,0
114,200000,FEMALE,2,2,36,-1,1069.833333,842.8333333,0
115,240000,FEMALE,3,1,40,-1,1265.333333,1292.833333,0
116,450000,FEMALE,1,2,41,-1,37798.5,36402,0
